what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1404279473406
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1404279473406
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1404279473427
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1404279473450
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1404279473466
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1404279473466
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1404279473490
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1404279473495
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1404279473516
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1404279473537
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1404279473559
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1404279473573
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1404279473582
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1404279473620
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1404279473631
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1404279473631
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1404279473632
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1404279473648
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1404279473671
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1404279473672
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1404279473672
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1404279473672
os,sysinfo,,,"win32",1404279473676
arch,sysinfo,,,"x86",1404279473676
ws,sysinfo,,,"win32",1404279473676
locale,sysinfo,,,"en_US",1404279473676
processors,sysinfo,,,"4",1404279473676
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1404279473676
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1404279473676
java.specification.name,sysinfo,,,"Java Platform API Specification",1404279473676
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1404279473676
java.specification.version,sysinfo,,,"1.6",1404279473676
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1404279473676
java.version,sysinfo,,,"1.6.0_23",1404279473676
java.vm.info,sysinfo,,,"mixed mode",1404279473676
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1404279473676
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1404279473676
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1404279473676
java.vm.specification.version,sysinfo,,,"1.0",1404279473676
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1404279473676
java.vm.version,sysinfo,,,"19.0-b09",1404279473676
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404279473712
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1404279474410
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1404279477911
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1404279477963
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1404279477964
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1404279477966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279477994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279479974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279484493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279501912
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1404279502792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404279541024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279553512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279584917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404279589124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404280017393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404280021923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404280044594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404280053019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404280054976
