what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1402987271807
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1402987271807
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1402987271808
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1402987271809
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1402987271809
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1402987271810
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1402987271810
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1402987271810
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1402987271811
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1402987271811
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1402987271812
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1402987271813
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1402987271813
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1402987271814
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1402987271814
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1402987271815
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1402987271815
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1402987271816
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1402987271817
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1402987271818
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1402987271818
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1402987271819
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1402987271820
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1402987271820
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1402987271820
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1402987271820
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1402987271821
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1402987271821
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1402987271822
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1402987271823
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1402987271823
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1402987271823
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1402987271824
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1402987271824
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1402987271824
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1402987271825
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1402987271825
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1402987271826
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1402987271826
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1402987271826
os,sysinfo,,,"win32",1402987271828
arch,sysinfo,,,"x86",1402987271828
ws,sysinfo,,,"win32",1402987271828
locale,sysinfo,,,"zh_TW",1402987271828
processors,sysinfo,,,"8",1402987271828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402987271828
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1402987271828
java.specification.name,sysinfo,,,"Java Platform API Specification",1402987271828
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402987271828
java.specification.version,sysinfo,,,"1.6",1402987271828
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1402987271828
java.version,sysinfo,,,"1.6.0_23",1402987271828
java.vm.info,sysinfo,,,"mixed mode",1402987271828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1402987271828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402987271828
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402987271828
java.vm.specification.version,sysinfo,,,"1.0",1402987271828
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1402987271828
java.vm.version,sysinfo,,,"19.0-b09",1402987271828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402987272750
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1402987273308
started,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1402987278260
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1402987278280
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1402987278412
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1402987278415
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1402987278415
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1402987278416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987278651
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1402987303816
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1402987303842
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1402987304166
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1402987304647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987307888
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1402987310826
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1402987310829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987317848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987340776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987343249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987350683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987350958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987354584
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402987358285
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1402987358291
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402987358342
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1402987358801
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1402987358976
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1402987358978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987361030
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1402987362468
started,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1402987362468
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1402987363167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987372919
opened,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402987374242
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1402987374416
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1402987374424
activated,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402987379200
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402987380050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987382780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402987402419
