what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_TW",1403170449716
processors,sysinfo,,,"8",1403170449716
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403170449716
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1403170449716
java.specification.name,sysinfo,,,"Java Platform API Specification",1403170449716
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403170449716
java.specification.version,sysinfo,,,"1.6",1403170449716
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403170449716
java.version,sysinfo,,,"1.6.0_23",1403170449716
java.vm.info,sysinfo,,,"mixed mode",1403170449716
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403170449716
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403170449716
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403170449716
java.vm.specification.version,sysinfo,,,"1.0",1403170449716
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403170449716
java.vm.version,sysinfo,,,"19.0-b09",1403170449716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1403170450427
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1403170453692
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403170454694
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1403170454813
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403170454840
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403170457223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170457235
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1403170457264
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1403170457264
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1403170457265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170460657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170463240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170465048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170467831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170469049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170470838
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1403170476345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170477093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170477623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170481285
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1403170481681
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1403170481685
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1403170483193
started,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1403170483193
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1403170484370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170484450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170490760
opened,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403170492678
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1403170492944
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1403170492950
activated,view,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1403170505706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170507004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170507968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1403170507978
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1403170508071
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403170508180
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1403170508475
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1403170508475
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1403170508475
stopped,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1403170508475
stopped,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1403170508476
stopped,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1403170508476
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1403170508476
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1403170508476
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1403170508476
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1403170508476
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1403170508476
stopped,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1403170508476
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1403170508476
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1403170508477
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1403170508477
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1403170508477
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1403170508478
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1403170508479
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1403170508479
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1403170508479
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1403170508479
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1403170508479
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1403170508479
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1403170508479
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1403170508480
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1403170508480
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1403170508481
