what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1403181203079
ws,sysinfo,,,"win32",1403181203079
locale,sysinfo,,,"zh_TW",1403181203079
processors,sysinfo,,,"8",1403181203079
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403181203079
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1403181203079
java.specification.name,sysinfo,,,"Java Platform API Specification",1403181203079
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403181203079
java.specification.version,sysinfo,,,"1.6",1403181203079
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403181203079
java.version,sysinfo,,,"1.6.0_23",1403181203079
java.vm.info,sysinfo,,,"mixed mode",1403181203079
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403181203079
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403181203079
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403181203079
java.vm.specification.version,sysinfo,,,"1.0",1403181203079
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403181203079
java.vm.version,sysinfo,,,"19.0-b09",1403181203079
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1403181203846
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1403181203846
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403181203893
error,log,,,"Unable to validate connection settings.",1403181210781
error,log,,,"Unable to validate connection settings.",1403181210784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181210816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181212724
started,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1403181214798
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1403181214802
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1403181216401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181216536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181218564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181220203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181221633
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1403181221747
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403181221810
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1403181221937
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1403181222021
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1403181222021
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1403181222021
stopped,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1403181222021
stopped,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1403181222022
stopped,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1403181222022
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1403181222022
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1403181222022
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1403181222022
